resident_id,activity_id,date,attended,rating
R001,A013,2024-09-12,False,
R001,A018,2024-11-25,False,
R001,A016,2025-02-23,True,4
R001,A004,2025-06-17,True,4
R001,A027,2025-08-10,True,4
R001,A007,2025-08-11,True,3
R001,A002,2025-05-16,False,
R002,A009,2025-07-10,True,3
R002,A025,2024-11-18,True,2
R002,A006,2025-02-04,False,
R002,A027,2025-06-13,False,
R002,A017,2025-05-02,False,
R002,A033,2025-06-02,False,
R002,A005,2025-08-19,False,
R002,A015,2025-03-14,True,4
R002,A003,2025-02-02,False,
R002,A030,2025-04-26,False,
R002,A011,2024-09-06,True,4
R002,A029,2025-08-12,True,3
R002,A023,2025-05-10,False,
R002,A022,2025-01-08,True,3
R002,A007,2025-05-07,True,4
R002,A002,2024-09-28,True,4
R003,A001,2025-04-11,True,4
R003,A002,2025-04-11,False,
R003,A024,2024-12-14,True,4
R003,A005,2024-11-30,True,2
R003,A019,2025-08-17,True,4
R003,A026,2025-04-20,True,3
R003,A008,2025-04-18,True,4
R003,A029,2024-10-30,True,5
R003,A011,2025-03-24,True,3
R004,A009,2024-12-13,True,3
R004,A032,2024-11-09,True,2
R004,A013,2025-08-09,True,4
R004,A028,2025-08-31,False,
R004,A021,2024-11-29,True,3
R004,A026,2024-09-22,True,4
R004,A016,2025-01-23,True,4
R004,A018,2024-09-25,True,3
R004,A007,2024-10-16,False,
R004,A025,2025-06-29,True,3
R004,A005,2025-03-31,False,
R004,A001,2024-09-24,True,2
R005,A026,2024-09-09,True,4
R005,A006,2025-06-27,True,4
R005,A004,2024-09-25,True,3
R005,A017,2024-09-19,False,
R005,A030,2025-06-03,False,
R005,A021,2025-03-30,False,
R005,A018,2025-08-31,True,4
R005,A003,2025-05-16,True,4
R005,A019,2024-11-08,True,3
R005,A033,2025-03-20,False,
R005,A015,2025-01-17,True,3
R005,A028,2024-12-13,False,
R006,A032,2025-06-06,False,
R006,A019,2025-04-08,False,
R006,A027,2024-10-11,True,4
R006,A023,2025-07-15,True,3
R006,A025,2025-05-03,False,
R006,A031,2025-05-08,False,
R006,A011,2025-06-17,False,
R006,A013,2025-04-28,True,3
R006,A002,2024-10-23,False,
R006,A022,2025-07-25,False,
R006,A012,2024-10-13,True,2
R006,A015,2024-09-09,True,3
R006,A007,2025-02-08,True,5
R007,A010,2024-09-13,True,3
R007,A019,2025-07-08,True,2
R007,A003,2025-05-11,False,
R007,A002,2024-09-09,True,4
R007,A017,2025-08-06,True,2
R007,A018,2025-06-30,True,4
R007,A020,2025-01-06,True,3
R007,A025,2024-11-18,False,
R007,A033,2025-01-17,True,4
R008,A002,2024-12-16,False,
R008,A032,2024-11-24,True,4
R008,A027,2025-06-11,True,3
R008,A023,2024-12-31,False,
R008,A016,2025-04-27,True,4
R008,A005,2025-04-12,False,
R008,A009,2024-12-08,False,
R008,A019,2025-05-01,True,4
R008,A024,2025-07-23,True,2
R008,A010,2025-05-03,False,
R008,A031,2025-03-21,True,3
R008,A025,2025-07-21,False,
R008,A017,2025-05-05,True,1
R008,A012,2025-06-14,True,2
R008,A004,2025-07-30,False,
R009,A006,2024-11-27,True,3
R009,A014,2025-07-31,True,4
R009,A012,2025-01-28,True,5
R009,A020,2024-11-05,True,2
R009,A021,2025-08-21,False,
R009,A003,2024-11-10,False,
R009,A016,2025-08-28,True,5
R009,A027,2025-04-01,False,
R009,A002,2025-01-29,False,
R009,A022,2024-11-25,True,1
R009,A001,2025-05-11,False,
R009,A019,2025-04-14,True,3
R010,A033,2025-02-13,True,4
R010,A032,2024-09-18,True,3
R010,A009,2025-06-08,False,
R010,A004,2025-06-27,False,
R010,A005,2024-12-01,False,
R010,A001,2025-02-11,True,2
R010,A025,2024-09-26,True,4
R010,A015,2024-10-06,True,3
R010,A030,2025-01-07,True,4
R010,A002,2025-04-20,True,4
R010,A027,2025-05-15,True,3
R010,A016,2025-03-12,True,3
R011,A022,2025-01-28,True,4
R011,A025,2025-07-21,True,3
R011,A033,2024-11-28,True,3
R011,A013,2025-03-05,True,3
R011,A023,2025-07-27,True,3
R011,A030,2024-10-02,False,
R011,A027,2025-08-16,True,3
R011,A014,2025-05-21,False,
R011,A002,2024-10-17,False,
R011,A028,2025-06-28,True,2
R011,A017,2025-07-04,True,5
R011,A024,2025-05-12,True,2
R012,A020,2025-02-24,True,3
R012,A027,2024-10-25,True,3
R012,A028,2025-07-04,False,
R012,A005,2025-06-09,False,
R012,A018,2025-07-07,False,
R012,A003,2025-03-25,True,3
R012,A016,2025-02-20,True,4
R012,A031,2025-05-22,True,4
R012,A014,2024-09-12,True,5
R012,A008,2025-04-29,False,
R012,A009,2025-03-30,True,3
R012,A029,2024-10-28,False,
R012,A021,2024-11-15,False,
R013,A033,2025-01-24,True,4
R013,A023,2025-07-27,False,
R013,A011,2025-03-10,True,3
R013,A005,2025-01-28,True,3
R013,A024,2025-07-08,False,
R013,A015,2025-02-27,True,3
R014,A001,2025-01-08,False,
R014,A018,2025-01-21,False,
R014,A005,2024-12-07,True,3
R014,A007,2025-04-15,False,
R014,A022,2024-11-29,True,4
R014,A026,2025-01-05,False,
R014,A021,2024-11-01,True,5
R014,A033,2025-04-28,True,4
R014,A013,2025-07-18,False,
R014,A010,2025-01-13,True,4
R014,A030,2025-01-06,True,5
R014,A003,2024-09-23,True,4
R014,A029,2025-08-17,True,5
R014,A019,2025-03-18,True,4
R014,A032,2025-05-15,True,4
R014,A004,2025-04-21,True,2
